"List of Authorised E-Waste Dismantler/Recycler
As on 27.03.2021",,,,
,,,"21.   M/s. Nagraj E-Waste Recycling S. No. 41/2, Village
Asoli, Mouza Mahalgaon, Tal. Kamptee, Distt. Nagpur",
,,,"22.   M/s. R. T. Corporation S. No. 377, Hissar No: 2, Ambisi Ganeshpuri Road, Village: Palsai, Tal: Wada,
Dist: Thane",
,,,"23.   M/s. Environcare Recycling Pvt. Ltd., Unit No. 8/C-1, Actual Indusrial complex, Uchat Road, Vill.
Nagothane, Tal. Wada, Distt. Thane",
,,,"24.   M/s. AQSA Stamping 55, Rangara, Industrial Estate, 33/35, Kirwali (Adivali), Old Thane-Pune Road Tal:
Panvel Distt: Raigad",
,,,"25.   M/s. Green Valley E-Waste Management Pvt. Ltd., Pritesh Complex, Bldg No: A-7, Gala No:7, Anjurphata
Dapoda Village: Val, Tal:  Bhiwandi Distt.",
,,,"26.   M/s. Indian Scrap Traders, Ghusia Market, Gala no:
661 Vill: Pimpari, Post: Dahisar Dist: Thane",
,,,"27.   M/s. Mahalaxmi E-Recyclers Pvt. Ltd., Plot No. J-5,
(part), Gokul Shirgaon MIDC Area Dist: Kolhapaur",
,,,"28.   M/s. R. K. E-Recycling International LLP, Gala No. 2, Tirupati Industrial Park,, Sativali Road, Waliv, Tal.
Vasai, Distt. Thane",
,,,"29.   M/s. Shree Mohantara Solutions, G. No. 1290, 10th Mile Pune- Satara Road, Wadki, Tal. Haveli, Distt.
Pune",
,,,"30.   M/s. Anand Computer Systems, 2160 B, Sadashiv
Peth, Swamipuram Building Shop No. 7, 8, 9 Pune",
,,,"31.   M/s. E-Waste Recycling, Nicholas Compound, Near Agarwal Naka, Sativali Road, Valiv, Vasai, Distt.
Thane.",
,,,"32.   M/s. Krishna Metal Refinery, (Unit-2) Plot No. 2/143,
Sapronde Vill., Tal. Wada Distt. Thane",
,,,"33.   M/s. Eco-Tech Recycling, C/6 (5), Sagar Industrial Estate, S. No. 46/4, Bhunal Nagar, Vasai, E, Distt.
Thane",
,,,"34.   M/s. Green India E-Waste & Recycling OPC Pvt. Ltd.,
S. No. 74, H. No. 1/A, at. PO Dahisar, Tal. & Distt.
Thane",
,,,"35.   M/s. Shree Recyclers S. No. 208-2, Ap. Bhori-Bhotak,
Chandarwadi, Tal. Daund, Dist. Pune",
,,,"36.   M/s. S. K. Enterprises, Plot No. 134, Ahmednagar
Indl. Co-op. Society Ltd., Nashik",
,,,"37.   M/s. Spas Computers Pvt. Ltd., 7 &12, Hema Industrial Estate, Premises, Cos Ltd., Sarvodaya
Nagar, Rajmata Jijai Road, Josheshwari E Mumbai",
,,,"38.   M/s. Pakeaza Traders, Plot No. 406, 407, 408, At.
Soyapur, Tal.  & Distt. Aurangabad",
,,,"39.   M/s. Computronics Solutions Gut No. 679/2/2,
Kuruli, Chakan, Tal. Khed, Distt. Pune",
,,,"40.   M/s.  Envirocare  Recycling  Pvt.  Ltd.  Unit  No.  8/C-1, Actual     Industrial     Complex,     Uchat     Road,     Vill.
Mangathane, Tal. Wada, Dist. Thane",
,,,"41.   M/s. Recycling Future, S. NO. 169, Bhangarapada,
Post Kundevahll, Tal. Panvel, Distt. Raigad",
,,,"42.   M/s. JRS Recycling Solutions Pvt. Ltd., Gala No. 428,
S. No. 74, Hissa No. 2A, Garib Nawaz Estate, old
Mumbai Pune Road, Dahisar, Distt. Pune",
,,,"43.   M/s. Bharat Steels, S. No. 154, Hissa No. Vill.
Dhansar, Tal. Panvel, Distt. Raigad",
,,,"44.   M/s. Sahara Enterprises, G. No. 65, Dehu Alndi Road,
Tal. Haveli, Distt. Pune",
,,,"45.   M/s. Green E-Bin Electronic Solutions, Plot No. 18
MIDC Chikalthana, Aurangabad",
,,,"46.   M/s. Sahyadri E-Recycler Plot No. 108, 5 Star MIDC Kagal, Hatkanangale, Tal. Kagal, Distt. Kogal, Distt.
Kolhapur",
,,,"47.   M/s. J. S. Enterprises, G. No. 132, Khalumbare, Tal.
Khed, Distt. Pune",
,,,"48.   M/s. Sabbir Traders Plot No.999 (7), Karivali Narayan Kutir Udyog Mandal, Village Adivali, Tal. Panval, Dist.
Raigad",
,,,"49.   M/s. Greenbay Enterprises, 4550, S. No. 13, H No. 3A, Behind star Weigh Bridge, Mantawadi, Urali Devachi,
Pune - 412203",
,,,"50.   M/s. E-Waste Global, Gate No. 2, Near Theur Phata Lonikand, Pune Nagar Road, Tal. Haveli, Distt. Pune-
412216",
,,,"51.   M/s. Reteck Envirotech pvt. Ltd., Plot No. 4A, MIDC
Taloja, Tal. Panvel, Distt. Raigad",
,,,"52.   M/s. Mukesh Metal, Sr. No. 93, Hissa No. 1, Behind Deepesh Lodge Gotegar Uttarshiv, Mumbra Road,
Distt. Thane.",
,,,"53.   M/s. Green Tech Solution Industries Gat No. 83/1,
A/P. Wakhari, Tal. Pandharur, Distt. Solapur – 413304",
,,,"54.   M/s. Lilashana Sales, Ramdas company, Nandra
Road, Khamgaon, Distt. Buldhana",
,,,"55.   M/s. Sayma E-Waste Solutions, S. No. 323, Hissa No.
3, A Plot No. B-27, Urali Devachi, Tal. Haveli, Pune",
,,,"56.   M/s. Pranam Enterprises, Sr. No. 286/116, Next to
Badhe, Vill. Urali Devachi, Tal. Haveli, Distt. Pune",
